station_distance,total_price,area,next_use,city_planning,age,renovation_flg,number_of_floor,kitchen_level,service_room
3,1.5e+07,20,住宅,商業地域,33,0,1,K,0
4,9.3e+07,70,住宅,商業地域,11,1,3,LDK,0
4,1e+08,85,住宅,商業地域,11,0,3,LDK,0
1,6.6e+07,55,住宅,商業地域,34,1,2,LDK,0
1,5.1e+07,55,住宅,商業地域,34,0,2,LDK,0
1,6e+07,55,住宅,商業地域,34,0,3,DK,0
4,2.2e+07,20,住宅,商業地域,14,1,1,K,0
4,2.3e+07,20,住宅,商業地域,14,0,1,K,0
4,1.3e+08,95,住宅,商業地域,15,0,1,LDK,0
3,4e+07,30,住宅,商業地域,6,0,1,LDK,0
3,5.3e+07,40,住宅,商業地域,6,0,1,LDK,0
3,6.4e+07,55,住宅,第１種住居地域,46,1,2,LDK,0
0,1.8e+07,20,事務所,商業地域,42,0,1,K,0
2,1.1e+08,80,住宅,第２種住居地域,17,0,1,LDK,0
0,5.7e+07,60,住宅,商業地域,42,1,2,LDK,0
0,1.4e+07,20,住宅,商業地域,42,0,1,K,0
3,1.8e+08,125,住宅,商業地域,14,0,2,LDK,0
7,2.6e+07,25,住宅,商業地域,12,1,1,K,0
2,2.4e+07,25,住宅,商業地域,14,1,1,K,0
4,3e+07,35,住宅,商業地域,18,0,1,K,0
1,2.4e+07,20,住宅,商業地域,12,0,1,K,0
4,3.1e+07,25,住宅,商業地域,15,0,1,DK,0
4,2e+07,20,住宅,商業地域,14,1,1,K,0
4,2.8e+07,30,住宅,商業地域,13,0,1,K,0
3,3.3e+07,40,住宅,商業地域,12,0,1,LDK,0
2,2.6e+07,25,住宅,商業地域,14,0,1,K,0
1,2.4e+07,20,住宅,商業地域,12,0,1,R,0
2,2.3e+07,25,住宅,商業地域,14,0,1,K,0
4,2.8e+07,25,住宅,商業地域,18,0,1,K,0
2,2.5e+07,25,住宅,商業地域,12,0,1,DK,0
1,2.4e+07,20,住宅,商業地域,12,0,1,K,0
2,2.3e+07,20,住宅,商業地域,12,0,1,K,0
1,2.4e+07,20,住宅,商業地域,12,0,1,K,0
2,2.5e+07,25,住宅,商業地域,14,0,1,K,0
1,2.3e+07,20,住宅,商業地域,12,0,1,K,0
1,2.5e+07,20,その他,商業地域,12,0,1,K,0
4,3.2e+07,40,その他,商業地域,13,0,1,LDK,0
1,2.4e+07,20,その他,商業地域,12,0,1,K,0
2,2.5e+07,25,住宅,商業地域,12,0,1,K,0
10,1.9e+07,20,住宅,商業地域,16,1,1,K,0
10,2e+07,20,住宅,商業地域,16,0,1,K,0
3,4.5e+07,35,住宅,商業地域,5,0,1,DK,0
3,2.7e+07,25,住宅,商業地域,16,0,1,K,0
3,7.3e+07,60,住宅,商業地域,5,0,2,LDK,0
2,5.7e+07,50,住宅,商業地域,4,0,2,LDK,0
4,2.4e+07,25,その他,商業地域,12,0,1,K,0
2,3.9e+07,30,住宅,商業地域,5,0,1,DK,0
2,4e+07,35,住宅,商業地域,4,0,1,LDK,0
5,4.2e+07,45,その他,商業地域,34,0,2,DK,0
4,2.1e+07,20,住宅,商業地域,15,0,1,K,0
4,2.3e+07,20,住宅,商業地域,15,0,1,K,0
5,2e+07,20,住宅,商業地域,16,0,1,K,0
4,2.7e+07,35,その他,商業地域,13,0,1,DK,0
5,2.4e+07,20,その他,商業地域,11,0,1,K,0
5,1.4e+07,20,住宅,商業地域,11,0,1,K,0
4,1.6e+07,25,その他,商業地域,39,0,1,K,0
2,2.2e+07,20,住宅,商業地域,13,0,1,K,0
4,1.9e+07,20,住宅,商業地域,17,0,1,K,0
1,2.8e+07,35,その他,商業地域,15,0,1,DK,0
1,3.2e+07,30,事務所,商業地域,15,0,1,LDK,0
4,2.1e+07,20,住宅,商業地域,14,0,1,K,0
3,9500000,20,住宅,商業地域,13,0,1,DK,0
5,5.9e+07,50,住宅,商業地域,5,0,2,LDK,0
5,1.9e+07,20,住宅,商業地域,18,1,1,K,0
4,3.1e+07,30,住宅,商業地域,14,0,1,K,0
3,1.1e+07,15,住宅,商業地域,38,0,1,K,0
3,1.5e+07,15,住宅,商業地域,38,0,1,K,0
3,1.1e+07,15,住宅,商業地域,38,0,1,K,0
3,2.8e+07,35,住宅,商業地域,36,1,2,DK,0
3,1.6e+07,20,事務所,商業地域,36,0,1,K,0
4,3.2e+07,30,住宅,商業地域,14,0,1,K,0
6,2e+07,20,住宅,商業地域,18,1,1,K,0
6,3.5e+07,30,住宅,商業地域,10,0,1,K,0
6,3.4e+07,30,その他,商業地域,10,0,1,K,0
4,3.7e+07,45,住宅,商業地域,15,0,1,LDK,0
4,4.8e+07,65,住宅,商業地域,18,0,3,LDK,0
5,2e+07,20,住宅,商業地域,17,0,1,K,0
3,3.5e+07,30,住宅,商業地域,6,0,1,DK,0
2,5e+07,50,住宅,商業地域,20,0,2,LDK,0
2,5.5e+07,55,住宅,商業地域,20,1,2,LDK,0
3,3.9e+07,35,住宅,商業地域,18,1,1,K,0
3,4.1e+07,40,住宅,商業地域,7,0,1,LDK,0
3,5.5e+07,55,住宅,商業地域,18,0,2,LDK,0
1,3.5e+07,30,住宅,商業地域,13,1,1,DK,0
2,4.4e+07,35,住宅,商業地域,3,0,1,DK,0
3,3.1e+07,30,住宅,商業地域,11,0,1,LDK,0
1,2.1e+07,20,住宅,商業地域,17,0,1,K,0
1,1.3e+08,95,住宅,商業地域,15,0,3,LDK,0
3,3.6e+07,25,住宅,商業地域,11,0,1,DK,0
2,4e+07,30,住宅,商業地域,3,0,1,LDK,0
4,1.9e+07,20,住宅,商業地域,15,0,1,K,0
3,5.2e+07,50,住宅,商業地域,5,0,2,LDK,0
3,2.4e+07,20,住宅,商業地域,14,0,1,DK,0
3,5.6e+07,40,住宅,商業地域,2,0,2,LDK,0
1,4.1e+07,50,その他,商業地域,14,0,2,LDK,0
1,4e+07,50,住宅,商業地域,14,0,1,LDK,0
2,2.4e+07,25,住宅,商業地域,16,0,1,K,0
1,2.5e+07,20,住宅,商業地域,13,0,1,DK,0
4,2e+07,20,住宅,商業地域,13,0,1,K,0
4,1.6e+07,20,住宅,商業地域,43,0,1,DK,0
2,1.5e+07,20,住宅,商業地域,14,0,1,K,0
2,1.5e+07,20,住宅,商業地域,14,0,1,K,0
2,3e+07,30,住宅,商業地域,11,0,1,K,0
1,1.7e+07,20,住宅,商業地域,13,0,1,K,0
2,2.9e+07,30,住宅,商業地域,11,0,1,K,0
4,5.7e+07,50,住宅,商業地域,11,0,1,LDK,0
3,2.3e+07,25,住宅,商業地域,13,0,1,K,0
3,2.5e+07,20,住宅,商業地域,14,0,1,K,0
4,2.5e+07,20,住宅,商業地域,11,0,1,K,0
4,3.1e+07,30,その他,商業地域,11,0,1,K,0
3,2.3e+07,20,住宅,商業地域,13,0,1,K,0
4,2.6e+07,20,住宅,商業地域,13,0,1,K,0
4,2.4e+07,20,住宅,商業地域,13,0,1,K,0
4,2.7e+07,30,住宅,商業地域,7,1,1,K,0
6,2.5e+07,20,住宅,商業地域,15,0,1,K,0
5,2.6e+07,20,住宅,商業地域,15,0,1,K,0
6,2.6e+07,20,住宅,商業地域,15,0,1,K,0
4,2.2e+07,20,住宅,商業地域,16,0,1,K,0
4,2.3e+07,20,住宅,商業地域,15,0,1,K,0
3,2e+07,20,住宅,商業地域,18,0,1,K,0
2,5e+07,40,住宅,商業地域,12,0,1,LDK,0
2,5.7e+07,50,住宅,商業地域,12,0,2,LDK,0
4,2.1e+07,20,住宅,商業地域,13,0,1,K,0
1,2e+07,20,住宅,商業地域,13,1,1,K,0
11,1.4e+07,20,その他,商業地域,39,0,1,DK,0
1,1.8e+07,20,その他,商業地域,18,0,1,K,0
1,2e+07,20,住宅,商業地域,18,0,1,K,0
1,4.7e+07,60,住宅,商業地域,38,1,2,LDK,0
1,2.2e+07,20,住宅,商業地域,18,0,1,K,0
2,3.6e+07,35,事務所,商業地域,33,1,1,LDK,0
2,1.1e+08,70,住宅,商業地域,5,0,3,LDK,0
4,1.7e+08,105,住宅,商業地域,10,0,2,LDK,0
8,8.4e+07,70,住宅,商業地域,18,0,2,LDK,0
2,1.7e+08,120,住宅,商業地域,7,0,2,LDK,0
3,1.8e+07,20,住宅,商業地域,16,0,1,DK,0
1,3.8e+07,45,住宅,商業地域,37,0,1,LDK,0
2,2.8e+07,20,住宅,商業地域,14,0,1,R,0
2,2.8e+07,20,住宅,商業地域,14,0,1,K,0
2,2.1e+07,20,住宅,商業地域,14,0,1,K,0
3,1.8e+07,25,事務所,商業地域,36,0,1,K,0
3,1.4e+08,85,住宅,第１種住居地域,15,0,2,LDK,0
4,6.9e+07,45,住宅,第２種住居地域,4,1,1,LDK,0
3,8.6e+07,80,住宅,商業地域,36,0,3,LDK,0
3,5.8e+07,65,事務所,第１種住居地域,47,0,2,LDK,0
3,1e+08,50,住宅,第１種住居地域,15,1,2,LDK,0
10,5.7e+07,60,住宅,商業地域,41,1,2,LDK,0
5,2.5e+07,20,住宅,商業地域,9,0,1,R,0
5,3.8e+07,35,住宅,商業地域,9,0,1,LDK,0
5,2.5e+07,20,住宅,商業地域,3,0,1,K,0
4,3.7e+07,40,住宅,商業地域,5,0,1,LDK,0
6,4.3e+07,40,住宅,商業地域,11,1,1,LDK,0
4,1.8e+07,25,住宅,商業地域,16,0,1,K,0
6,9.7e+07,130,住宅,第１種住居地域,17,0,3,LDK,0
